id,equipe,adversaire,logo_adversaire,date,heure,lieu,domicile,division,score_scr,score_adv,buteurs,statut,created_at,updated_at
101,SCR 1,Oberroedern Aschbach,https://cdn-transverse.azureedge.net/phlogos/BC524677.jpg,2025-08-17,16:00:00,"STADE MUNICIPAL, ASCHBACH",f,COUPE DE FRANCE CRÉDIT AGRICOLE,2,2,"{""Gregory SCHNEIDER"",""Gregory SCHNEIDER""}",termine,2026-04-27 11:13:12.566485,2026-05-11 11:02:24.574922
102,SCR 1,Strasbourg Suc,https://cdn-transverse.azureedge.net/phlogos/BC515965.jpg,2025-08-24,16:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,4,2,"{""Gregory SCHNEIDER"",""Gregory SCHNEIDER"",""Gregory SCHNEIDER"",""Meihdy PORTIER""}",termine,2026-04-27 11:13:12.575309,2026-05-11 11:02:24.580472
104,SCR 1,Ent.Fcwiss/Altenstad,https://cdn-transverse.azureedge.net/phlogos/BC500413.jpg,2025-08-31,16:00:00,"STADE DES TURCOS 1, WISSEMBOURG",f,COUPE DE FRANCE CRÉDIT AGRICOLE,3,0,"{""Emilio GUERACAGUE"",""Matthieu CAMOLLI"",""Maximilien WILLIG""}",termine,2026-04-27 11:13:12.578219,2026-05-11 11:02:24.582491
107,SCR 1,Strg Hautepierre Afj,https://cdn-transverse.azureedge.net/phlogos/BC582444.jpg,2025-09-07,16:00:00,"STADE DE HAUTEPIERRE 1, STRASBOURG",f,District 1 Alsace,3,0,"{""Ludovic NOLD"",""Erwan KNOERY"",""Maximilien WILLIG""}",termine,2026-04-27 11:13:12.581852,2026-05-11 11:02:24.58543
110,SCR 1,Schleithal Us,https://cdn-transverse.azureedge.net/phlogos/BC521282.jpg,2025-09-14,15:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,COUPE DE FRANCE CRÉDIT AGRICOLE,0,2,{},termine,2026-04-27 11:13:12.585668,2026-05-11 11:02:24.58844
111,SCR 1,Sessenheim/Stattmatt,https://cdn-transverse.azureedge.net/phlogos/BC504043.jpg,2025-09-21,16:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,0,2,{},termine,2026-04-27 11:13:12.587248,2026-05-11 11:02:24.589457
113,SCR 1,Niederschaeffolsheim,https://cdn-transverse.azureedge.net/phlogos/BC520543.jpg,2025-09-28,15:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,Coupe d''Alsace Intermarché,1,2,"{""Jonathan SCHLADENHAUFEN""}",termine,2026-04-27 11:13:12.594832,2026-05-11 11:02:24.591044
117,SCR 1,Durrenb. Ent. Hegen,https://cdn-transverse.azureedge.net/phlogos/BC504059.jpg,2025-10-05,15:00:00,"STADE MUNICIPAL 1, DURRENBACH",f,District 1 Alsace,6,0,"{""Emilio GUERACAGUE"",""Emilio GUERACAGUE"",""Kenny DEBURE"",""Kenny DEBURE"",""Franck FUCHS"",""Meihdy PORTIER""}",termine,2026-04-27 11:13:12.598992,2026-05-11 11:02:24.594276
120,SCR 1,Beinheim S.S.,https://cdn-transverse.azureedge.net/phlogos/BC508931.jpg,2025-10-12,15:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,2,0,"{""Franck FUCHS"",""Quentin DUARTE""}",termine,2026-04-27 11:13:12.601719,2026-05-11 11:02:24.596537
123,SCR 1,Gambsheim As,https://cdn-transverse.azureedge.net/phlogos/BC504133.jpg,2025-10-19,15:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,1,1,"{""Gregory SCHNEIDER""}",termine,2026-04-27 11:13:12.604307,2026-05-11 11:02:24.598784
126,SCR 1,Hoenheim Sr,https://cdn-transverse.azureedge.net/phlogos/BC503968.jpg,2025-10-26,15:00:00,"STADE OMNISPORTS LE CHÊNE 1, HOENHEIM",f,District 1 Alsace,1,1,"{""Erwan KNOERY""}",termine,2026-04-27 11:13:12.606873,2026-05-11 11:02:24.601557
129,SCR 1,Mothern Fc,https://cdn-transverse.azureedge.net/phlogos/BC519635.jpg,2025-11-02,14:30:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,1,3,"{""Gregory SCHNEIDER""}",termine,2026-04-27 11:13:12.609241,2026-05-11 11:02:24.603622
133,SCR 1,Oberlauterbach Us,https://cdn-transverse.azureedge.net/phlogos/BC527527.jpg,2025-11-23,14:30:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,0,1,{},termine,2026-04-27 11:13:12.612628,2026-05-11 11:02:24.606695
135,SCR 1,Scheibenhard Fc,https://cdn-transverse.azureedge.net/phlogos/BC521271.jpg,2025-11-30,14:30:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,Coupe Crédit Mutuel Wissembourg,1,4,"{""Erwan KNOERY""}",termine,2026-04-27 11:13:12.614223,2026-05-11 11:02:24.608237
